Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
8499,LW,Sean,Bergenheim,0,0,3400,WPG@MIN,MIN,WPG,,
58920,LW,Jiri,Sekac,1.4,11,3400,CHI@ANH,ANH,CHI,IR,Ankle
15398,D,Brandon,Manning,0.9,18,3400,NSH@PHI,PHI,NSH,,
23226,RW,Tom,Wilson,1.3,21,3400,TB@WAS,WAS,TB,,
62157,C,Andrew,Copp,0.8,19,3300,WPG@MIN,WPG,MIN,,
8886,LW,Chris,Porter,0.4,20,3300,WPG@MIN,MIN,WPG,,
11237,LW,Zac,Rinaldo,0.6,19,3300,NYR@BOS,BOS,NYR,,
62789,C,Joonas,Kemppainen,0.5,19,3300,NYR@BOS,BOS,NYR,,
8196,C,Paul,Gaustad,0.5,16,3200,NSH@PHI,NSH,PHI,DTD,Upper body
10929,RW,Anthony,Peluso,1.3,12,3200,WPG@MIN,WPG,MIN,,
8224,LW,Eric,Nystrom,1,13,3200,NSH@PHI,NSH,PHI,,
54951,C,Pierre-Edouard,Bellemare,0.6,14,3200,NSH@PHI,PHI,NSH,,
8938,C,Patrice,Cormier,0.4,1,3200,WPG@MIN,WPG,MIN,,
11277,RW,Jordan,Schroeder,0.7,10,3200,WPG@MIN,MIN,WPG,DTD,Illness
15218,D,David,Rundblad,0.5,5,3200,CHI@ANH,CHI,ANH,,
8527,D,Michal,Rozsival,0,6,3200,CHI@ANH,CHI,ANH,,
39405,LW,Miikka,Salomaki,1.1,8,3200,NSH@PHI,NSH,PHI,IR,Undisclosed
62310,C,Tanner,Kero,1.2,13,3200,CHI@ANH,CHI,ANH,,
8607,D,Brooks,Orpik,1.1,14,3200,TB@WAS,WAS,TB,DTD,Lower body
37880,C,Scott,Laughton,1.3,22,3200,NSH@PHI,PHI,NSH,,
9109,RW,Ryan,White,1.2,17,3200,NSH@PHI,PHI,NSH,IR,Shoulder
11401,LW,Gabriel,Bourque,1.2,21,3100,NSH@PHI,NSH,PHI,,
8164,LW,Chris,Thorburn,1.2,23,3100,WPG@MIN,WPG,MIN,,
8299,LW,R.J.,Umberger,1.7,11,3100,NSH@PHI,PHI,NSH,IR,Lower body
8231,D,Adam,Pardy,0.7,8,3100,WPG@MIN,WPG,MIN,,
61549,LW,Frank,Vatrano,3,7,3100,NYR@BOS,BOS,NYR,,
23438,D,Jonas,Brodin,0.9,19,3100,WPG@MIN,MIN,WPG,,
12202,LW,Andrew,Desjardins,0.2,19,3100,CHI@ANH,CHI,ANH,,
21710,LW,J.T.,Brown,1.8,21,3100,TB@WAS,TB,WAS,,
12266,D,Korbinian,Holzer,0.5,10,3100,CHI@ANH,ANH,CHI,,
12847,RW,Landon,Ferraro,0.8,12,3100,NYR@BOS,BOS,NYR,,
14463,D,Victor,Bartley,-1,1,3100,NSH@PHI,NSH,PHI,,
9094,D,Arturs,Kulda,0,0,3100,WPG@MIN,WPG,MIN,,
12659,RW,Brett,Bulmer,0.5,3,3000,WPG@MIN,MIN,WPG,,
54521,D,Shayne,Gostisbehere,2.4,6,3000,NSH@PHI,PHI,NSH,,
54475,D,Christian,Folin,0.7,13,3000,WPG@MIN,MIN,WPG,,
12631,LW,Tye,McGinn,0.2,2,3000,TB@WAS,TB,WAS,,
37968,RW,Jonathan,Audy-Marchessault,1.6,6,3000,TB@WAS,TB,WAS,,
8189,D,Mark,Stuart,0.7,23,3000,WPG@MIN,WPG,MIN,,
54925,LW,Michael,Keranen,-1,1,3000,WPG@MIN,MIN,WPG,,
21925,D,Tommy,Cross,0.3,3,3000,NYR@BOS,BOS,NYR,,
8758,RW,Mike,Blunden,0.6,2,3000,TB@WAS,TB,WAS,,
14151,RW,Austin,Watson,1.1,18,3000,NSH@PHI,NSH,PHI,,
42839,C,Chandler,Stephenson,-0.2,9,3000,TB@WAS,WAS,TB,,
9314,D,Paul,Postma,-0.4,2,3000,WPG@MIN,WPG,MIN,,
14181,RW,Tyler,Randell,1.3,12,3000,NYR@BOS,BOS,NYR,,
9346,RW,Brandon,Mashinter,0.4,7,3000,CHI@ANH,CHI,ANH,,
42924,D,Colin,Miller,2.7,18,3000,NYR@BOS,BOS,NYR,,
62032,C,Vincent,Hinostroza,0.5,4,3000,CHI@ANH,CHI,ANH,,
12765,RW,Matt,Taormina,0.4,1,3000,TB@WAS,TB,WAS,,
8430,D,Nick,Schultz,0.2,22,3000,NSH@PHI,PHI,NSH,,
12756,D,Dylan,McIlrath,0.2,4,3000,NYR@BOS,NYR,BOS,,
39463,C,Max,Friberg,0,5,3000,CHI@ANH,ANH,CHI,,
10824,C,Mike,Angelidis,0,0,3000,TB@WAS,TB,WAS,,
42998,LW,Taylor,Leier,0.2,6,3000,NSH@PHI,PHI,NSH,,
42977,RW,Nicolas,Petan,0.4,14,3000,WPG@MIN,WPG,MIN,,
12696,RW,Stanislav,Galiev,1.7,4,3000,TB@WAS,WAS,TB,,
